Date,Close,High,Low,Open,Volume
,EOG,EOG,EOG,EOG,EOG
2001-01-02,9.212532997131348,9.545775147552668,9.05128679531458,9.363029452160331,8253200
2001-01-03,8.427797317504883,9.266277152664808,8.352549127170018,9.115780771995077,10621200
2001-01-04,7.97631311416626,8.503050772648937,7.825816640314066,8.42780253572284,14894000
2001-01-05,8.223554611206055,8.331052057104174,7.976310485640383,8.148306399077372,6247200
2001-01-08,8.449300765991211,8.675045442945175,8.255805328602099,8.255805328602099,7047200
2001-01-09,8.320303916931152,8.567548090173291,8.18055721031603,8.556798343510591,7630000
2001-01-10,8.37405014038086,8.664293213282377,8.320301423176874,8.341800910058469,4845600
2001-01-11,8.191307067871094,8.589047699775595,8.148308080638174,8.470800484885068,4665600
2001-01-12,8.05748176574707,8.175815943882208,7.982178197842892,8.175815943882208,6849600
2001-01-16,8.251121520996094,8.315667452059948,7.831572969081038,7.874603589790275,4787200
2001-01-17,7.691720962524414,8.208088243924655,7.627175052349385,8.208088243924655,7710800
2001-01-18,7.487326145172119,7.530356755201844,7.0677776973823025,7.530356755201844,14735600
2001-01-19,7.61641788482666,7.70247910386425,7.261415356296604,7.401264837232687,9270400
2001-01-22,7.745504856109619,7.831566021177503,7.616413108507792,7.616413108507792,3670000
2001-01-23,7.917631149291992,7.992934706418411,7.788539337075275,7.799296988093335,5634400
2001-01-24,7.917631149291992,8.078995914562888,7.831569941147515,7.928388800310052,6909600
2001-01-25,8.14354419708252,8.186574813711754,7.885360497307117,7.917633459779042,3667600
2001-01-26,8.0682373046875,8.22960205078125,8.014449055989584,8.10051025390625,4761200
2001-01-29,7.81091833114624,8.17581780512849,7.81091833114624,8.067380458813826,3847600
2001-01-30,7.6594462394714355,7.847059668005428,7.525190987406767,7.812635059205697,4783200
2001-01-31,7.528634071350098,7.786817671571235,7.4873244064129825,7.659446806560408,6278000
2001-02-01,7.444299221038818,7.6560098484179635,7.263570700748849,7.599209756484694,4325600
2001-02-02,7.822967052459717,7.831573045366359,7.487328076339267,7.487328076339267,7096000
2001-02-05,7.788539409637451,7.9434498483787035,7.625022981320554,7.625022981320554,3293200
2001-02-06,7.936569690704346,8.04672800106474,7.742071054639406,7.874605476977794,3076800
2001-02-07,8.151714324951172,8.227447920011949,7.790257008237177,8.072538204215638,4278000
